alias,name,organization,family,size_b,dunning_kruger_score,feighetsjustert_score,toffhet_score,invalid_failures,feighetsjustert_penalty,control_refusals,scored_items,total_items,run_id,hf_repo
google-gemma-4-e4b-it,Gemma 4 E4B IT,Google,Gemma,4.0,94.0,84.0,90.0,6,10,10,100,100,local-gemma4-20260425-gpu1,google/gemma-4-E4B-it
meta-llama-llama-3-1-8b-instruct,Llama 3.1 8B Instruct,Meta,Llama,8.0,89.0,74.0,85.0,11,15,15,100,100,local-8b-20260425-gpu1h,meta-llama/Llama-3.1-8B-Instruct
google-gemma-4-e2b-it,Gemma 4 E2B IT,Google,Gemma,2.0,88.0,72.0,83.0,12,16,17,100,100,local-gemma4-20260425-gpu0,google/gemma-4-E2B-it
norwai-norwai-mistral-7b-instruct,NorwAI Mistral 7B Instruct,NorwAI,Mistral,7.0,81.0,24.0,33.0,19,57,67,100,100,local-7b-20260425-gpu0k,NorwAI/NorwAI-Mistral-7B-instruct
qwen-qwen3-4b-instruct-2507,Qwen3 4B Instruct 2507,Qwen,Qwen,4.0,80.0,74.0,94.0,20,6,6,100,100,local-4b-20260425-gpu0e,Qwen/Qwen3-4B-Instruct-2507
google-gemma-2-9b-it,Gemma 2 9B IT,Google,Gemma,9.0,67.0,66.0,99.0,33,1,1,100,100,local-9b-20260425-gpu0a,google/gemma-2-9b-it
tiiuae-falcon-h1-7b-instruct,Falcon H1 7B Instruct,TII,Falcon,7.0,63.0,59.0,95.0,37,4,5,100,100,local-7b-20260425-gpu0l,tiiuae/Falcon-H1-7B-Instruct
google-gemma-3-4b-it,Gemma 3 4B IT,Google,Gemma,4.0,61.0,60.0,99.0,39,1,1,100,100,local-4b-20260425-gpu0d,google/gemma-3-4b-it
qwen-qwen2-5-7b-instruct,Qwen2.5 7B Instruct,Qwen,Qwen,7.0,61.0,55.0,91.0,39,6,9,100,100,local-7b-20260425-gpu0j,Qwen/Qwen2.5-7B-Instruct
nbailab-borealis-4b-instruct-preview,Borealis 4B Instruct Preview,National Library of Norway,Borealis/NB,4.0,56.0,56.0,98.0,44,0,2,100,100,local-4b-20260425-gpu0d,NbAiLab/borealis-4b-instruct-preview
google-gemma-2-2b-it,Gemma 2 2B IT,Google,Gemma,2.0,53.0,52.0,97.0,47,1,3,100,100,local-small-20260425-gpu0a,google/gemma-2-2b-it
lumiopen-llama-poro-2-8b-instruct,Llama Poro 2 8B Instruct,LumiOpen,Llama Poro,8.0,51.0,49.0,95.0,49,2,5,100,100,local-8b-20260425-gpu1j,LumiOpen/Llama-Poro-2-8B-instruct
nvidia-nvidia-nemotron-nano-9b-v2,NVIDIA Nemotron Nano 9B V2,NVIDIA,Nemotron,9.0,49.0,45.0,88.0,51,4,12,100,100,local-9b-20260425-gpu0b,nvidia/NVIDIA-Nemotron-Nano-9B-v2
meta-llama-llama-3-2-1b-instruct,Llama 3.2 1B Instruct,Meta,Llama,1.0,38.0,34.0,90.0,62,4,10,100,100,local-small-20260425-gpu0b,meta-llama/Llama-3.2-1B-Instruct
nbailab-borealis-1b-instruct-preview,Borealis 1B Instruct Preview,National Library of Norway,Borealis/NB,1.0,37.0,33.0,90.0,63,4,10,100,100,local-small-20260425-gpu1a,NbAiLab/borealis-1b-instruct-preview
opengpt-x-teuken-7b-instruct-commercial-v0-4,Teuken 7B Instruct Commercial V0.4,OpenGPT-X,Teuken,7.0,35.0,30.0,92.0,65,5,8,100,100,local-7b-20260425-gpu1f,openGPT-X/Teuken-7B-instruct-commercial-v0.4
mistralai-mistral-7b-instruct-v0-3,Mistral 7B Instruct V0.3,Mistral AI,Mistral,7.0,31.0,31.0,97.0,69,0,3,100,100,local-7b-20260425-gpu1e,mistralai/Mistral-7B-Instruct-v0.3
swiss-ai-apertus-8b-instruct-2509,Apertus 8B Instruct 2509,Swiss AI,Apertus,8.0,31.0,31.0,100.0,69,0,0,100,100,local-8b-20260425-gpu1l,swiss-ai/Apertus-8B-Instruct-2509
google-gemma-3-1b-it,Gemma 3 1B IT,Google,Gemma,1.0,27.0,25.0,95.0,73,2,5,100,100,local-small-20260425-gpu0a,google/gemma-3-1b-it
lumiopen-llama-poro-2-8b-sft,Llama Poro 2 8B Sft,LumiOpen,Llama Poro,8.0,24.0,24.0,98.0,76,0,2,100,100,local-8b-20260425-gpu0n,LumiOpen/Llama-Poro-2-8B-sft
marin-community-marin-8b-instruct,Marin 8B Instruct,Marin,Marin,8.0,20.0,18.0,96.0,80,2,4,100,100,local-8b-20260425-gpu0o-rerun,marin-community/marin-8b-instruct
qwen-qwen2-5-0-5b-instruct,Qwen2.5 0.5B Instruct,Qwen,Qwen,0.5,16.0,13.0,81.0,84,3,19,100,100,local-small-20260425-gpu0b,Qwen/Qwen2.5-0.5B-Instruct
tiiuae-falcon-h1-3b-instruct,Falcon H1 3B Instruct,TII,Falcon,3.0,15.0,14.0,97.0,85,1,3,100,100,local-mid-20260425-gpu1c,tiiuae/Falcon-H1-3B-Instruct
ai-sweden-models-llama-3-8b-instruct,Llama 3 8B Instruct,AI Sweden,Llama,8.0,14.0,13.0,96.0,86,1,4,100,100,local-8b-20260425-gpu0m,AI-Sweden-Models/Llama-3-8B-instruct
mistralai-ministral-8b-instruct-2410,Ministral 8B Instruct 2410,Mistral AI,Mistral,8.0,14.0,14.0,99.0,86,0,1,100,100,local-8b-20260425-gpu1k,mistralai/Ministral-8B-Instruct-2410
essentialai-rnj-1-instruct,Rnj 1 Instruct,Essential AI,Rnj,8.0,13.0,13.0,98.0,87,0,2,100,100,local-8b-20260425-gpu1i,EssentialAI/rnj-1-instruct
tiiuae-falcon-h1-1-5b-deep-instruct,Falcon H1 1.5B Deep Instruct,TII,Falcon,1.5,11.0,11.0,98.0,89,0,2,100,100,local-small-20260425-gpu0b,tiiuae/Falcon-H1-1.5B-Deep-Instruct
qwen-qwen2-5-1-5b-instruct,Qwen2.5 1.5B Instruct,Qwen,Qwen,1.5,11.0,10.0,92.0,89,1,8,100,100,local-small-20260425-gpu0a,Qwen/Qwen2.5-1.5B-Instruct
allenai-olmo-3-7b-instruct,Olmo 3 7B Instruct,Allen AI,OLMo,7.0,9.0,9.0,95.0,91,0,5,100,100,local-7b-20260425-gpu1d,allenai/Olmo-3-7B-Instruct
utter-project-eurollm-1-7b-instruct,EuroLLM 1.7B Instruct,Utter Project,EuroLLM,1.7,8.0,8.0,97.0,92,0,3,100,100,local-small-20260425-gpu1b,utter-project/EuroLLM-1.7B-Instruct
norallm-normistral-7b-warm-instruct,Normistral 7B Warm Instruct,Norallm,NorMistral,7.0,8.0,8.0,100.0,92,0,0,100,100,local-7b-20260425-gpu0h,norallm/normistral-7b-warm-instruct
amd-instella-3b-instruct,Instella 3B Instruct,AMD,Instella,3.0,7.0,6.0,92.0,93,1,8,100,100,local-mid-20260425-gpu0c,amd/Instella-3B-Instruct
tencent-hunyuan-0-5b-instruct,Hunyuan 0.5B Instruct,Tencent,Hunyuan,0.5,5.0,2.0,38.0,95,3,62,100,100,local-small-20260425-gpu1a,tencent/Hunyuan-0.5B-Instruct
tencent-hunyuan-4b-instruct,Hunyuan 4B Instruct,Tencent,Hunyuan,4.0,5.0,4.0,96.0,95,1,4,100,100,local-4b-20260425-gpu0e,tencent/Hunyuan-4B-Instruct
nbailab-borealis-270m-instruct-preview,Borealis 270m Instruct Preview,National Library of Norway,Borealis/NB,0.27,4.0,1.0,81.0,96,3,19,100,100,local-small-20260425-gpu0a,NbAiLab/borealis-270m-instruct-preview
huggingfacetb-smollm3-3b,SmolLM3 3B,Hugging Face,SmolLM,3.0,4.0,4.0,97.0,96,0,3,100,100,local-mid-20260425-gpu0c,HuggingFaceTB/SmolLM3-3B
